Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Josh Magennis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mads Reginiussen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alfredo Ortuño Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gianmarco Zigoni can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Mortensen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nabil Bahoui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Milan Đurić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charlison Benschop can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Norwood can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Viguera Manzanares can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danny Ward can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Louis Elliott Moult can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adriano Grimaldi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Teal  Bunbury can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eric Larsson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nick Proschwitz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Collin Quaner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Liam Boyce can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrey Galabinov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gaëtan Courtet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matt Smith can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Muñoz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
최영준 财杨钧 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elia Soriano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Frączczak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bruno Daniel Castro Moreira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ever Milton Cantero Benítez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jefferson Andrés Duque Montoya can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Antonio Llanos Almonacid can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Philipp Zulechner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rémy Dugimont can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stefan Kutschke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kieffer Moore can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexandru Mateiu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom van Weert can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Mario Mazzola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pål Alexander Kirkevold can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matty Taylor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stanislav Iljutcenko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Javier Andrés Parraguez Herrera can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adão Douglas Morrinhos Paes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Douglas Arthur Silbeira Martins can substitute for the position ls, Left striking position, which is a(n) attacker position. 
